src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,44.158.207.113,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.476,0.305,0.216,0.015,0.463,0.306,0.206,1,0,0,0,0,0,0.0,44.158.207.113,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,157.124.147.163,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.246,0.279,0.257,0.013,0.001,0.279,0.195,0.113,1,0,0,0,0,0,0.0,157.124.147.163,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,44.158.254.181,1,1,5,3,223,132,40,52,44.6,5.64,40,52,44.0,5.66,0.0,5.001,1.529,2.017,0.571,4.988,2.779,2.209,0,0,0,0,0,0,-1.0,44.158.254.181,Schneider Electric,PLC:TM221C24T,Schneider,10
192.168.158.111,34.223.192.108,1,1,3,2,143,84,40,52,47.67,5.44,40,44,42.0,2.0,0.0,0.26,0.13,0.13,0.249,0.249,0.249,0.0,1,0,0,0,0,0,-1.0,34.223.192.108,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,214.1.68.13,1,1,5,6,223,300,40,52,44.6,5.64,40,96,50.0,20.62,0.0,0.296,0.199,0.116,0.001,0.253,0.15,0.122,1,0,0,0,0,0,0.0,214.1.68.13,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,95.247.26.105,1,1,4,4,183,268,40,52,45.75,5.76,40,144,67.0,44.49,0.0,0.378,0.206,0.156,0.002,0.378,0.207,0.155,1,0,0,0,0,0,0.0,95.247.26.105,TELEMECANIQUE,PLC:TWDLMDA20DRT,Schneider,10
192.168.158.111,157.124.147.162,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.244,0.27,0.253,0.01,0.001,0.27,0.19,0.11,1,0,0,0,0,0,0.0,157.124.147.162,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,1.41.147.182,1,1,4,2,184,84,40,52,46.0,6.0,40,44,42.0,2.0,0.019,7.403,2.811,3.272,0.019,0.019,0.019,0.0,0,0,0,0,0,0,-1.0,1.41.147.182,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,217.173.242.214,1,1,5,5,223,294,40,52,44.6,5.64,40,122,58.8,31.94,0.0,0.289,0.207,0.12,0.006,0.267,0.14,0.126,1,0,0,0,0,0,0.023054,217.173.242.214,PEWEU,PLC:FPWEBD,PIEU,6
192.168.158.111,44.158.207.154,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.502,0.33,0.233,0.018,0.502,0.334,0.224,1,0,0,0,0,0,0.0,44.158.207.154,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,140.25.161.235,1,1,6,5,275,316,40,52,45.83,5.84,40,144,63.2,40.67,0.0,4.678,1.579,1.692,0.296,4.382,1.659,1.668,1,0,0,0,0,0,1.661271,140.25.161.235,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,157.124.147.161,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.245,0.27,0.252,0.011,0.0,0.27,0.19,0.11,1,0,0,0,0,0,0.0,157.124.147.161,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,95.246.34.181,1,1,5,6,223,301,40,52,44.6,5.64,40,97,50.17,21.0,0.0,0.318,0.235,0.136,0.002,0.309,0.181,0.13,1,0,0,0,0,0,0.0,95.246.34.181,Schneider Electric,PLC:BMX P34 20302,Schneider,10
192.168.158.111,44.158.207.240,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.42,0.28,0.198,0.016,0.423,0.286,0.191,1,0,0,0,0,0,0.0,44.158.207.240,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,95.246.117.31,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0.0,0.268,0.167,0.119,0.001,0.231,0.115,0.114,1,0,0,0,0,0,0.002034,95.246.117.31,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,95.240.53.107,1,1,5,6,223,296,40,52,44.6,5.64,40,96,49.33,20.87,0.0,0.303,0.219,0.127,0.002,0.266,0.12,0.116,1,0,0,0,0,0,0.036358,95.240.53.107,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,50.80.29.232,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.098,0.064,0.045,0.004,0.098,0.065,0.043,1,0,0,0,0,0,0.0,50.80.29.232,Schneider Electric,PLC:TM221CE24R,Schneider,10
192.168.158.111,157.124.147.165,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.244,0.275,0.253,0.013,0.001,0.275,0.191,0.111,1,0,0,0,0,0,0.0,157.124.147.165,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,95.246.104.93,1,1,5,6,223,304,40,52,44.6,5.64,40,96,50.67,20.48,0.0,0.255,0.19,0.109,0.001,0.252,0.151,0.123,1,0,0,0,0,0,0.0,95.246.104.93,Schneider Electric SAS,Communication Module:TSXETY4103,Schneider,10
192.168.158.111,87.190.71.249,1,1,4,4,208,160,52,52,52.0,0.0,40,40,40.0,0.0,0.764,0.78,0.771,0.007,0.76,0.948,0.831,0.083,0,0,0,0,0,0,-1.0,87.190.71.249,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,157.124.147.191,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.245,0.271,0.252,0.011,0.001,0.27,0.19,0.11,1,0,0,0,0,0,0.0,157.124.147.191,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,95.246.104.43,1,1,5,6,223,299,40,52,44.6,5.64,40,95,49.83,20.25,0.0,0.258,0.189,0.109,0.0,0.252,0.149,0.121,1,0,0,0,0,0,0.0,95.246.104.43,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
